time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-03-25T06:33:40.469Z,37.9067,36.189,10,4.3,mb,23,149,0.349,1.12,us,us7000jmmu,2023-05-26T21:54:19.040Z,"12 km SE of Saimbeyli, Turkey",earthquake,2.16,1.92,0.16,11,reviewed,us,us
2023-03-25T04:39:34.155Z,38.039,37.0762,10,4.5,mb,58,70,0.551,0.96,us,us7000jmme,2023-05-26T21:54:19.040Z,"10 km WSW of Ekinözü, Turkey",earthquake,5.55,1.911,0.077,51,reviewed,us,us
2023-03-24T13:10:35.229Z,37.9624,37.5237,12.756,4.4,mb,66,39,0.673,0.63,us,us7000jme6,2023-05-26T21:54:16.040Z,"7 km E of Nurhak, Turkey",earthquake,2.39,4.272,0.087,38,reviewed,us,us
2023-03-24T00:39:53.695Z,37.9593,36.3728,10,4.6,mwr,138,20,0.379,0.95,us,us7000jmay,2023-05-26T21:54:14.040Z,"K. Maras, Turkey",earthquake,4.35,1.822,0.053,34,reviewed,us,us
2023-03-23T10:04:57.411Z,38.0186,36.4699,10,4.4,mb,39,65,0.39,1.07,us,us7000jm5l,2023-05-26T21:54:14.040Z,"2 km W of Göksun, Turkey",earthquake,1.47,1.903,0.178,9,reviewed,us,us
2023-03-23T09:19:53.459Z,38.0109,36.4273,10,5.3,mww,107,21,0.396,0.97,us,us7000jm54,2023-05-26T21:54:14.040Z,"6 km W of Göksun, Turkey",earthquake,5.31,1.77,0.054,33,reviewed,us,us
2023-03-23T05:45:22.216Z,37.8867,36.6199,7.606,4.2,mwr,38,47,0.376,0.67,us,us7000jm47,2023-05-26T21:54:13.040Z,"18 km SE of Göksun, Turkey",earthquake,2.35,3.202,0.065,23,reviewed,us,us
2023-03-20T15:40:36.190Z,37.3664,36.7383,10,4,mb,42,61,0.189,1,us,us7000jlfv,2023-05-26T21:54:08.040Z,"21 km N of Nurdağı, Turkey",earthquake,1.4,1.936,0.212,6,reviewed,us,us
2023-03-20T09:57:07.933Z,38.0581,37.1965,10,4.2,mb,59,64,0.705,0.78,us,us7000jle3,2023-05-26T21:54:07.040Z,"0 km ESE of Ekinözü, Turkey",earthquake,3.09,1.818,0.118,20,reviewed,us,us
2023-03-19T12:56:45.888Z,38.0182,36.4817,9.438,4.3,mb,37,51,0.392,0.61,us,us7000jmew,2023-05-26T21:54:16.040Z,"1 km WSW of Göksun, Turkey",earthquake,1.46,5.205,0.142,14,reviewed,us,us
2023-03-19T12:54:24.814Z,38.0441,36.4908,9.74,4.3,mb,64,47,0.367,0.46,us,us7000jl95,2023-05-26T21:54:06.040Z,"",earthquake,3.77,4.345,0.091,34,reviewed,us,us
2023-03-18T09:25:31.128Z,37.8325,36.3765,2.786,4.4,mb,40,51,0.253,0.38,us,us7000jl20,2023-05-20T23:20:37.040Z,"23 km SSW of Göksun, Turkey",earthquake,3.4,5.654,0.123,20,reviewed,us,us
2023-03-18T05:14:29.880Z,38.0124,36.4342,7.446,4.6,mb,81,45,0.394,0.7,us,us7000jl0z,2023-05-20T23:20:36.040Z,"5 km W of Göksun, Turkey",earthquake,3.32,4.73,0.069,62,reviewed,us,us
2023-03-18T01:40:06.005Z,37.7982,36.6794,7.657,4.1,mb,38,44,0.341,1.21,us,us7000jl04,2023-05-20T23:20:35.040Z,"29 km SSE of Göksun, Turkey",earthquake,3.66,6.888,0.197,7,reviewed,us,us
2023-03-17T01:41:13.745Z,38.0241,36.5823,5,4.4,mb,32,41,0.404,0.81,us,us7000jkp9,2023-05-20T23:20:30.040Z,"7 km E of Göksun, Turkey",earthquake,2.86,1.807,0.19,8,reviewed,us,us
2023-03-14T14:49:49.524Z,37.7899,37.3899,10,4.6,mwr,104,28,0.482,1.01,us,us7000jjv5,2023-05-20T23:20:23.040Z,"Central Turkey",earthquake,3.3,1.82,0.069,20,reviewed,us,us
2023-03-14T06:47:34.436Z,38.0681,36.9544,3.289,4.6,mwr,68,44,0.541,0.49,us,us7000jjrw,2023-05-20T23:20:22.040Z,"20 km S of Afşin, Turkey",earthquake,2.18,4.382,0.06,27,reviewed,us,us
2023-03-12T12:31:22.559Z,37.9391,36.329,10,4.3,mb,39,77,0.359,0.48,us,us7000jjbv,2023-05-20T23:20:17.040Z,"17 km WSW of Göksun, Turkey",earthquake,2.61,1.903,0.133,16,reviewed,us,us
2023-03-10T07:58:34.775Z,37.9912,37.4971,8.969,4.1,mb,24,71,0.678,1.2,us,us7000jirp,2023-05-15T02:49:30.040Z,"5 km ENE of Nurhak, Turkey",earthquake,2.02,5.297,0.234,5,reviewed,us,us
2023-03-07T09:40:12.279Z,37.6641,36.608,8.301,4.4,mb,67,55,0.225,0.57,us,us7000jhv7,2023-05-15T02:50:20.040Z,"24 km ENE of And?r?n, Turkey",earthquake,3.85,4.734,0.086,39,reviewed,us,us
2023-03-06T13:03:25.671Z,38.197,37.2109,14.422,4,mb,30,60,0.66,0.82,us,us7000jhmg,2023-05-15T02:50:28.040Z,"1 km SE of Elbistan, Turkey",earthquake,2.72,5.095,0.298,3,reviewed,us,us
2023-03-03T02:53:43.065Z,37.8395,36.7004,7.12,5,mww,85,26,0.369,0.9,us,us7000jgyv,2023-05-08T02:00:31.040Z,"26 km SE of Göksun, Turkey",earthquake,5.78,3.331,0.059,28,reviewed,us,us
2023-03-01T16:37:59.849Z,37.2659,37.0676,9.357,4.4,mb,39,104,0.147,0.78,us,us7000jgly,2023-05-08T02:00:10.040Z,"31 km ENE of Nurda??, Turkey",earthquake,5.27,2.865,0.138,15,reviewed,us,us
2023-03-01T02:23:22.581Z,37.9019,36.8966,10,4.1,mwr,39,62,0.396,0.79,us,us7000jged,2023-05-08T02:00:02.040Z,"Central Turkey",earthquake,6.86,1.925,0.058,29,reviewed,us,us
2023-02-28T23:32:10.728Z,37.2808,37.0318,11.969,4.1,mb,25,106,0.179,0.61,us,us7000jgdf,2023-05-08T02:00:01.040Z,"29 km ENE of Nurda??, Turkey",earthquake,3.19,5.071,0.303,3,reviewed,us,us
2023-02-28T18:51:44.658Z,37.2588,36.992,13.18,4.1,mb,28,104,0.194,0.81,us,us7000jgbe,2023-05-08T01:59:58.040Z,"24 km ENE of Nurda??, Turkey",earthquake,3.42,3.809,0.212,6,reviewed,us,us
2023-02-28T14:49:17.330Z,37.9073,36.7306,10,3.9,mwr,50,48,0.423,0.88,us,us7000jg94,2023-05-08T01:59:56.040Z,"24 km ESE of Göksun, Turkey",earthquake,3.25,1.866,0.071,19,reviewed,us,us
2023-02-28T14:39:54.956Z,37.7893,36.7056,10,4.4,mwr,113,32,0.323,0.72,us,us7000jg90,2023-05-08T01:59:55.040Z,"Central Turkey",earthquake,3.63,1.841,0.056,31,reviewed,us,us
2023-02-28T12:42:16.530Z,37.4289,36.4287,13.271,4.3,mb,44,78,0.165,0.73,us,us7000jg8e,2023-05-08T01:59:54.040Z,"17 km SSE of And?r?n, Turkey",earthquake,2.48,5.12,0.133,16,reviewed,us,us
2023-02-27T06:19:48.628Z,37.9189,37.0464,8.266,4.2,mwr,99,47,0.429,0.46,us,us6000jrvk,2023-05-08T01:59:40.040Z,"19 km SW of Ekinözü, Turkey",earthquake,5.37,4.521,0.061,26,reviewed,us,us
2023-02-27T02:51:21.400Z,37.8722,37.5853,10,4.7,mwr,165,30,0.655,0.59,us,us6000jrtz,2023-05-08T01:59:38.040Z,"10 km NNW of Gölba??, Turkey",earthquake,2.07,1.752,0.052,35,reviewed,us,us
2023-02-26T04:37:41.209Z,38.0353,37.0903,10,4.3,mb,42,60,0.55,1.08,us,us6000jrn9,2023-05-08T01:59:28.040Z,"8 km WSW of Ekinözü, Turkey",earthquake,4.84,1.926,0.178,9,reviewed,us,us
2023-02-25T12:41:13.746Z,38.0367,37.067,6.703,4.4,mwr,108,49,0.547,0.41,us,us6000jrjg,2023-04-29T21:57:37.040Z,"",earthquake,2.65,3.752,0.05,39,reviewed,us,us
2023-02-25T08:58:40.076Z,38.3654,37.4414,5.166,4.1,mb,24,59,0.805,0.8,us,us6000jril,2023-04-29T21:57:37.040Z,"20 km SSW of Darende, Turkey",earthquake,2.19,5.697,0.233,5,reviewed,us,us
2023-02-23T11:41:44.935Z,38.0035,37.7419,10,4.4,mb,62,73,0.832,0.98,us,us6000jr08,2023-04-29T21:57:30.040Z,"14 km SW of Do?an?ehir, Turkey",earthquake,1.21,1.881,0.114,22,reviewed,us,us
2023-02-23T03:23:02.764Z,37.2286,37.0909,10,4,mb,27,113,0.11,0.53,us,us6000jqyd,2023-04-29T21:57:29.040Z,"31 km NW of Gaziantep, Turkey",earthquake,3.52,1.525,0.212,6,reviewed,us,us
2023-02-22T04:40:03.213Z,38.0463,36.6397,10,4,mb,41,62,0.4,0.74,us,us6000jqq1,2023-04-29T21:57:24.040Z,"12 km ENE of Göksun, Turkey",earthquake,3.46,1.891,0.15,12,reviewed,us,us
2023-02-21T11:55:52.878Z,38.0685,37.43,10.747,4.1,mb,25,71,0.702,0.3,us,us6000jqiz,2023-04-29T21:57:21.040Z,"11 km N of Nurhak, Turkey",earthquake,2.27,5.936,0.174,9,reviewed,us,us
2023-02-21T10:09:38.143Z,37.4411,37.2074,16.582,4.2,mb,32,84,0.253,0.68,us,us6000jqim,2023-04-29T21:57:21.040Z,"Central Turkey",earthquake,5.03,4.845,0.215,6,reviewed,us,us
2023-02-20T23:21:14.407Z,38.0175,37.3695,10,4.3,mwr,114,28,0.632,0.63,us,us6000jqft,2023-04-29T21:57:18.040Z,"8 km NW of Nurhak, Turkey",earthquake,3.78,1.833,0.062,25,reviewed,us,us
2023-02-20T01:49:00.120Z,38.0024,36.7996,6.718,4.3,mwr,103,35,0.503,0.89,us,us6000jq7l,2023-04-29T21:57:15.040Z,"26 km E of Göksun, Turkey",earthquake,5.48,3.681,0.048,42,reviewed,us,us
